event_id,expected_attendance,p10,p90
ft_evt_0040,92,83,101
ft_evt_0058,123,93,155
ft_evt_0014,79,69,88
ft_evt_0032,149,134,164
ft_evt_0023,157,143,170
ft_evt_0056,332,284,360
ft_evt_0006,70,60,80
ft_evt_0052,323,265,366
ft_evt_0060,347,270,430
ft_evt_0041,75,67,82
ft_evt_0015,76,66,85
ft_evt_0033,70,62,76
ft_evt_0024,63,56,69
ft_evt_0007,45,37,52
ft_evt_0042,55,50,61
ft_evt_0016,56,48,63
ft_evt_0048,160,131,179
ft_evt_0062,133,96,173
ft_evt_0034,45,39,50
ft_evt_0050,376,320,405
ft_evt_0025,80,72,87
ft_evt_0008,51,45,55
ft_evt_0046,324,273,364
ft_evt_0043,36,30,43
ft_evt_0017,33,28,37
ft_evt_0054,149,114,184
ft_evt_0035,52,46,57
ft_evt_0026,50,44,55
ft_evt_0009,31,28,35
ft_evt_0044,46,41,51
